folder	ref	tier
[강북고][3][확통][25-1-중간] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 중간고사 모음\워드\확통\[강북고][3][확통][25-1-중간][신사고] (완료).hwp	정확
[경명여고][3][확통][25-1-중간] (원본)		완료본 없음
[경북여고][2][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\1학기 기말고사\[경북여고][2][확통][25-1-기말][신사고] (완료).hwp	정확
[경산여고][3][확통][25-1-중간] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\2학기 기말고사\[경산여고][2][확통][25-2-기말][비상] (완료).hwp	약함(학년/회차 불일치 — 검증필요)
[경상여고][3][확통][25-1-중간] (원본)		완료본 없음
[경원고][3][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\2학기 기말고사\[경원고][2][확통][25-2-기말][비상] (완료).hwp	약함(학년/회차 불일치 — 검증필요)
[계성고][1][공수2][25-2-중간] (원본)	N:\개인\기출\2024 기출모음\2024년 2학기 중간 고사 모음\#워드\고1\[계성고][1][공수2][25-2-중간대비][미래엔] (완료).hwp	유사(회차변형)
[계성고][1][수하][23-2-기말] (원본)	N:\개인\기출\2023 기출모음\2023년 2학기 기말 고사 모음\#워드\고1\[계성고][1][수하][23-2-기말][비상] (완료).hwp	정확
[군위고][2][확통][25-1-중간] (원본)	N:\개인\기출\2023 기출모음\2023년 1학기 기말 고사 모음\##워드\확통\[군위고][2][확통][23-1-기말] (완료).hwp	약함(학년/회차 불일치 — 검증필요)
[남산고][2][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\1학기 기말고사\[남산고][2][확통][25-1-기말][동아] (완료).hwp	정확
[대건고][1][공수2][25-2-중간] (원본)	N:\개인\기출\2024 기출모음\2024년 2학기 중간 고사 모음\#워드\고1\[대건고][1][공수2][25-2-중간대비][비상] (완료).hwp	유사(회차변형)
[대건고][3][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\2학기 기말고사\[대건고][2][확통][25-2-기말][비상] (완료).hwp	약함(학년/회차 불일치 — 검증필요)
[대륜고][2][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\1학기 기말고사\[대륜고][2][확통][25-1-기말][미래엔] (완료).hwp	정확
[대륜고][2][확통][25-1-중간] (원본)	N:\개인\기출\2024 기출모음\2024년 2학기 중간 고사 모음\#워드\확통\[대륜고][2][확통][24-2-중간][미래엔] (완료).hwp	유사(회차변형)
[대진고][3][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 중간고사 모음\워드\확통\[대진고][3][확통][25-1-중간][신사고] (완료).hwp	약함(학년/회차 불일치 — 검증필요)
[덕원고][3][확통][25-1-중간] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 중간고사 모음\워드\확통\[덕원고][3][확통][25-1-중간][미래엔] (완료).hwp	정확
[매천고][2][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\1학기 기말고사\[매천고][2][확통][25-1-기말][천재] (완료).hwp	정확
[문명고][2][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\1학기 기말고사\[문명고][2][확통][25-1-기말][미래엔] (완료).hwp	정확
[분성고][2][확통][25-1-기말] (원본)		완료본 없음
[삼육고][2][확통][25-1-중간] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\1학기 기말고사\[삼육고][2][확통][25-1-기말][미래엔] (완료).hwp	약함(학년/회차 불일치 — 검증필요)
[상원고][1][공수2][25-2-중간] (원본)	N:\개인\기출\2024 기출모음\2024년 2학기 중간 고사 모음\#워드\고1\[상원고][1][공수2][25-2-중간대비][미래엔] (완료).hwp	유사(회차변형)
[상원고][3][확통][25-1-중간] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 중간고사 모음\워드\확통\[상원고][3][확통][25-1-중간][비상] (완료).hwp	정확
[상인고][3][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 중간고사 모음\워드\확통\[상인고][3][확통][25-1-중간][천재류] (완료).hwp	약함(학년/회차 불일치 — 검증필요)
[성화여고][2][확통][25-1-중간] (원본)	N:\개인\기출\2023 기출모음\2023년 2학기 중간 고사 모음\##워드\고2\확통\[성화여고][2][확통][23-2-중간][신사고] (완료).hwp	유사(회차변형)
[수성고][2][확통][25-1-중간] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 중간고사 모음\워드\확통\[수성고][2][확통][25-1-중간][비상] (완료).hwp	정확
[숙명여고][2][확통][25-1-중간] (원본)		완료본 없음
[시지고][2][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\1학기 기말고사\[시지고][2][확통][25-1-기말][신사고] (완료).hwp	정확
[신선여고][2][확통][25-1-기말] (원본)		완료본 없음
[영송여고][3][확통][25-1-기말] (원본)	N:\개인\기출\2023 기출모음\2023년 2학기 기말 고사 모음\#워드\고2\확통\[영송여고][2][확통][23-2-기말][신사고] (완료).hwp	약함(학년/회차 불일치 — 검증필요)
[원화여고][2][확통][25-1-기말] (원본)	N:\개인\기출\2024 기출모음\2024년 1학기 기말 고사 모음\워드\고2\확통\[원화여고][2][확통][24-1-기말][비상](완료).hwp	유사(회차변형)
[이서고][2][확통][25-1-기말] (원본)	N:\개인\기출\2023 기출모음\2023년 1학기 기말 고사 모음\##워드\확통\[이서고][2][확통][23-1-기말][미래엔] (완료).hwp	유사(회차변형)
[정동고][3][확통][25-1-기말] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 기말고사 모음\워드\확통\2학기 기말고사\[정동고][2][확통][25-2-기말][신사고] (완료).hwp	약함(학년/회차 불일치 — 검증필요)
[제일고][3][확통][25-1-중간] (원본)		완료본 없음
[청구고][3][확통][25-1-기말] (원본)	N:\개인\기출\2024 기출모음\2024년 2학기 기말 고사 모음\확통\[청구고][2][확통][24-2-기말][미래엔] (완료).hwp	약함(학년/회차 불일치 — 검증필요)
[협성고][2][확통][25-1-중간] (원본)	N:\개인\기출\2025 기출모음\2025년 1학기 중간고사 모음\워드\확통\[협성고][2][확통][25-1-중간][신사고] (완료).hwp	정확
